"","EMY.chisq","EMY.p","EMY.FDR","EM.z","EM.p","MY.z","MY.p","annot"
"CHEBI:16467",1.61,0.204,1,0.826,0.409,-1.99,0.0467,"arginine"
"CHEBI:16349",1.2,0.274,1,0.601,0.548,-1.41,0.159,"citrulline"
"CHEBI:16015",0.639,0.424,1,-0.191,0.848,2.15,0.0312,"glutamate"
"CHEBI:17053",0.938,0.333,1,-0.921,0.357,0.433,0.665,"aspartate"
"CHEBI:30915",0.708,0.4,1,-0.253,0.8,0.772,0.44,"alpha-ketoglutarate"
"CHEBI:16958",0.508,0.476,1,0.0601,0.952,-0.526,0.599,"beta-alanine"
"ADSL",0,1,1,-0.246,0.806,-0.334,0.738,"PUR8"
"CHEBI:18050",0,1,1,-1.23,0.22,-1.81,0.0707,"glutamine"
"CHEBI:17196",0,1,1,-3.05,0.00228,-1.21,0.227,"asparagine"
"CHEBI:21547",0,1,1,-0.408,0.683,-0.854,0.393,"N-acetylaspartate (NAA)"
"CHEBI:16027",0,1,1,-0.965,0.334,-0.845,0.398,"adenosine 5'-monophosphate (AMP)"
"CHEBI:18012",0,1,1,-0.824,0.41,-0.498,0.618,"fumarate"
"CHEBI:17202",0,1,1,-1.15,0.249,-0.424,0.671,"inosine 5'-monophosphate (IMP)"
"CHEBI:18367",0,1,1,-0.665,0.506,-0.122,0.903,"phosphate"
