"","in_pwy","impact","EMY.p","EMY.FDR","EM_dir.p","MY_dir.p","EM.t","EM.p","MY.t","MY.p","CHEBI"
"CHEBI:15741",TRUE,2.1,0.0709,0.933,0.0638,0.266,1.92,0.0638,1.13,0.266,"succinate"
"CHEBI:32816",TRUE,2.01,0.0737,0.933,0.271,0.241,1.12,0.271,1.2,0.241,"pyruvate"
"CHEBI:18012",TRUE,1.74,0.152,0.933,0.39,0.317,0.872,0.39,1.02,0.317,"fumarate"
"CHEBI:30797",TRUE,1.67,0.151,0.933,0.0613,0.389,1.94,0.0613,0.873,0.389,"malate"
"CHEBI:32805",TRUE,1.6,0.172,0.933,0.415,0.151,0.826,0.415,1.47,0.151,"cis-aconitate"
"CHEBI:30915",TRUE,1.4,0.21,0.933,0.459,0.233,0.75,0.459,1.22,0.233,"alpha-ketoglutarate"
"CHEBI:18367",TRUE,1.12,0.275,0.933,0.512,0.525,0.664,0.512,-0.0624,0.951,"phosphate"
"CHEBI:35932",FALSE,0.217,0.0146,0.65,0.0142,0.121,2.59,0.0142,1.59,0.121,"3-methyl-2-oxovalerate"
"CHEBI:17865",FALSE,0.216,6.52e-05,0.0224,1.54e-05,0.00808,5.09,1.54e-05,2.83,0.00808,"4-methyl-2-oxopentanoate"
"CHEBI:16530",FALSE,0.171,0.0183,0.679,7.74e-05,0.135,4.53,7.74e-05,1.53,0.135,"3-methyl-2-oxobutyrate"
"CHEBI:422",FALSE,0.157,0.031,0.872,0.0244,0.176,2.36,0.0244,1.38,0.176,"lactate"
"CHEBI:15344",FALSE,0.105,0.0329,0.893,0.177,0.181,-1.38,0.177,-1.37,0.181,"acetoacetate"
"CHEBI:18019",FALSE,0.104,0.0668,0.933,0.259,0.223,1.15,0.259,1.24,0.223,"lysine"
"CHEBI:17295",FALSE,0.097,3.45e-05,0.0158,0.0022,0.00587,3.33,0.0022,2.96,0.00587,"phenylalanine"
"CHEBI:16742",FALSE,0.0886,0.216,0.933,0.211,0.464,-1.28,0.211,-0.741,0.464,"orotate"
"CHEBI:16414",FALSE,0.0869,1.89e-05,0.013,0.000936,0.00434,3.65,0.000936,3.08,0.00434,"valine"
"CHEBI:17895",FALSE,0.0841,0.000434,0.116,0.0208,0.000464,2.43,0.0208,3.92,0.000464,"tyrosine"
"CHEBI:16977",FALSE,0.0834,0.00245,0.225,0.0495,0.0236,2.04,0.0495,2.38,0.0236,"alanine"
"CHEBI:30851",FALSE,0.082,0.0177,0.677,0.0495,0.133,2.04,0.0495,1.54,0.133,"phenylpyruvate"
"CHEBI:17533",FALSE,0.0576,0.00263,0.226,0.0513,0.00822,2.02,0.0513,2.82,0.00822,"N-acetylglutamate"
"CHEBI:16643",FALSE,0.0459,0.067,0.933,0.259,0.00961,1.15,0.259,2.76,0.00961,"methionine"
"CHEBI:37024",FALSE,0.0432,0.0209,0.739,0.0169,0.145,2.52,0.0169,1.5,0.145,"2-aminoadipate"
"TMPRSS15",FALSE,0.0366,0.305,0.933,0.553,0.478,-0.133,0.895,0.718,0.478,NA
"CHEBI:1372",FALSE,0.0353,0.33,0.933,0.0405,0.575,2.14,0.0405,0.567,0.575,"S-1-pyrroline-5-carboxylate"
"CXCL11",FALSE,0.032,0.0484,0.933,0.122,0.22,1.59,0.122,1.25,0.22,NA
"CHEBI:15603",FALSE,0.0311,1.42e-05,0.013,0.000395,0.00376,3.96,0.000395,3.13,0.00376,"leucine"
"CHEBI:73024",FALSE,0.0254,0.0194,0.702,0.0946,0.139,-1.72,0.0946,-1.52,0.139,"acetylcarnitine"
"CHEBI:28645",FALSE,0.0242,0.121,0.933,0.348,0.0767,0.953,0.348,1.83,0.0767,"fructose"
"PLA2G2E",FALSE,0.0232,0.331,0.933,0.575,0.162,-0.192,0.849,1.43,0.162,NA
"CHEBI:15978",FALSE,0.0229,0.38,0.933,0.282,0.617,1.09,0.282,0.505,0.617,"glycerol 3-phosphate"
"CHEBI:18145",FALSE,0.0215,0.0635,0.933,0.229,0.252,1.23,0.229,1.17,0.252,"alpha-tocopherol"
"CHEBI:16828",FALSE,0.0215,0.0123,0.588,0.0583,0.111,1.96,0.0583,1.64,0.111,"tryptophan"
"CKB",FALSE,0.0209,0.112,0.933,0.334,0.14,0.981,0.334,1.52,0.14,NA
"LEP",FALSE,0.0193,0.054,0.933,0.232,0.0936,1.22,0.232,1.73,0.0936,NA
"CHEBI:16393",FALSE,0.0189,0.264,0.933,0.419,0.514,0.819,0.419,-0.0359,0.972,"sphingosine"
"CHEBI:16919",FALSE,0.0179,0.141,0.933,0.000459,0.376,3.91,0.000459,0.899,0.376,"creatine"
"PLA2G1B",FALSE,0.0172,0.319,0.933,0.565,0.114,-0.165,0.87,1.63,0.114,NA
"CHEBI:17203",FALSE,0.017,0.344,0.933,0.587,0.0268,0.549,0.587,2.33,0.0268,"proline"
"CHEBI:17712",FALSE,0.0164,0.0237,0.796,0.106,0.154,1.67,0.106,1.46,0.154,"xanthine"
"CHEBI:32796",FALSE,0.0162,0.397,0.933,0.0129,0.63,2.63,0.0129,-0.335,0.74,"2-hydroxyglutarate"
"ENPP7",FALSE,0.0153,0.00805,0.418,0.0897,0.0168,1.75,0.0897,2.53,0.0168,NA
"MAPK13",FALSE,0.015,0.224,0.933,0.473,0.228,0.727,0.473,1.23,0.228,NA
"SOD2",FALSE,0.014,0.317,0.933,0.563,0.168,-0.161,0.873,1.41,0.168,NA
"CHEBI:17568",FALSE,0.0134,0.0413,0.933,0.108,0.203,1.65,0.108,1.3,0.203,"uracil"
"CHEBI:15611",FALSE,0.013,0.23,0.933,0.48,0.179,0.715,0.48,1.38,0.179,"sarcosine"
"TGM3",FALSE,0.013,0.273,0.933,0.523,0.288,0.0573,0.955,-1.08,0.288,NA
"XPNPEP1",FALSE,-0.013,0.903,0.947,0.03,0.95,2.27,0.03,-1.7,0.0997,NA
"HMOX2",FALSE,-0.0131,0.729,0.933,0.854,0.156,1.07,0.292,-1.46,0.156,NA
"CHEBI:16610",FALSE,-0.0131,0.811,0.933,0.901,0.0521,1.31,0.199,-2.02,0.0521,"spermidine"
"CHEBI:16566",FALSE,-0.0131,0.801,0.933,0.895,0.505,-0.133,0.895,0.0121,0.99,"sphinganine"
"CA3",FALSE,-0.0139,0.805,0.933,0.897,0.0683,1.29,0.206,-1.89,0.0683,NA
"CHEBI:15354",FALSE,-0.0144,0.861,0.935,7.2e-06,0.928,5.35,7.2e-06,0.0912,0.928,"choline"
"HBA1",FALSE,-0.0144,0.783,0.933,0.885,0.173,1.22,0.23,-1.4,0.173,NA
"TNFSF13B",FALSE,-0.0148,0.891,0.942,0.944,0.0734,-1.64,0.112,1.85,0.0734,NA
"MAP2K1",FALSE,-0.0151,0.933,0.96,0.966,0.267,-0.0431,0.966,-1.13,0.267,NA
"CA1",FALSE,-0.0155,0.773,0.933,0.879,0.148,1.19,0.241,-1.49,0.148,NA
"GNLY",FALSE,-0.0162,0.691,0.933,0.831,0.164,-0.973,0.338,1.43,0.164,NA
"KRAS",FALSE,-0.0162,0.858,0.935,0.926,0.124,-1.48,0.147,1.58,0.124,NA
"NAMPT",FALSE,-0.0164,0.929,0.957,0.964,0.0516,1.86,0.0723,-2.03,0.0516,NA
"CA9",FALSE,-0.0167,0.916,0.952,0.0271,0.957,-2.32,0.0271,1.77,0.0862,NA
"CHEBI:16680",FALSE,-0.0177,0.841,0.935,0.115,0.917,1.62,0.115,-1.42,0.166,"S-adenosylhomocysteine (SAH)"
"TNF",FALSE,-0.0179,0.886,0.941,0.941,0.0456,-1.61,0.117,2.08,0.0456,NA
"CHEBI:41721",FALSE,-0.0181,0.726,0.933,0.059,0.852,1.96,0.059,-1.06,0.296,"cysteine sulfinic acid"
"AK1",FALSE,-0.0181,0.795,0.933,0.892,0.0753,1.26,0.216,-1.84,0.0753,NA
"CHEBI:15999",FALSE,-0.0181,0.63,0.933,0.794,4.68e-05,0.264,0.794,4.73,4.68e-05,"4-hydroxyphenylpyruvate"
"SOD1",FALSE,-0.0185,0.729,0.933,0.854,0.0604,1.07,0.292,-1.95,0.0604,NA
"GPI",FALSE,-0.0215,0.793,0.933,0.0508,0.89,2.03,0.0508,-1.25,0.219,NA
"CHEBI:16027",FALSE,-0.0232,0.743,0.933,0.862,0.0675,1.11,0.276,-1.89,0.0675,"adenosine 5'-monophosphate (AMP)"
"CHEBI:16467",FALSE,-0.0241,0.728,0.933,0.853,0.248,-1.07,0.294,1.18,0.248,"arginine"
"HSPD1",FALSE,-0.0245,0.821,0.933,0.906,0.166,1.34,0.188,-1.42,0.166,NA
"GAPDH",FALSE,-0.0248,0.838,0.935,0.15,0.916,1.47,0.15,-1.41,0.169,NA
"CHEBI:17752",FALSE,-0.0255,0.724,0.933,0.167,0.851,1.41,0.167,-1.06,0.298,"N6-acetyllysine"
"TKT",FALSE,-0.0256,0.877,0.936,0.936,0.0772,1.56,0.127,-1.83,0.0772,NA
"PLA2G5",FALSE,-0.026,0.762,0.933,0.873,0.0484,1.16,0.254,-2.05,0.0484,NA
"NME2",FALSE,-0.0276,0.802,0.933,0.201,0.896,1.31,0.201,-1.28,0.209,NA
"PLA2G10",FALSE,-0.0284,0.816,0.933,0.903,0.033,1.33,0.193,-2.23,0.033,NA
"CHEBI:17053",FALSE,-0.0286,0.695,0.933,0.21,0.834,1.28,0.21,-0.984,0.333,"aspartate"
"CHEBI:32398",FALSE,-0.0305,0.77,0.933,0.111,0.878,1.64,0.111,-1.19,0.245,"glycerate"
"CHEBI:17594",FALSE,-0.0306,0.85,0.935,0.618,0.922,-0.503,0.618,-0.0989,0.922,"hydroquinone sulfate"
"CHEBI:17561",FALSE,-0.0319,0.864,0.935,0.0396,0.93,-2.15,0.0396,1.51,0.141,"cysteine"
"GOT1",FALSE,-0.0354,0.743,0.933,0.0185,0.862,-2.48,0.0185,1.11,0.276,NA
"HSD17B10",FALSE,-0.0359,0.788,0.933,0.887,0.184,1.24,0.225,-1.36,0.184,NA
"CHEBI:16958",FALSE,-0.0364,0.806,0.933,0.898,0.517,-0.129,0.898,0.043,0.966,"beta-alanine"
"FGG",FALSE,-0.0387,0.991,0.996,0.111,0.995,-1.64,0.111,-0.0058,0.995,NA
"CHEBI:17050",FALSE,-0.0392,0.819,0.933,0.905,0.0569,1.34,0.19,-1.98,0.0569,"3-phosphoglycerate"
"ENTPD3",FALSE,-0.0397,0.749,0.933,0.865,0.0377,1.12,0.269,-2.17,0.0377,NA
"CHEBI:16946",FALSE,-0.041,0.815,0.933,0.903,0.185,0.123,0.903,1.35,0.185,"kynurenine"
"NME1",FALSE,-0.0427,0.934,0.96,0.966,0.00271,1.9,0.0671,-3.26,0.00271,NA
"ENTPD1",FALSE,-0.0444,0.75,0.933,0.866,0.353,-0.17,0.866,-0.943,0.353,NA
"LDHB",FALSE,-0.0459,0.715,0.933,0.846,0.129,1.03,0.309,-1.56,0.129,NA
"CHEBI:15676",FALSE,-0.0461,0.815,0.933,0.903,0.102,1.32,0.195,-1.69,0.102,"allantoin"
"CHEBI:15428",FALSE,-0.0563,0.801,0.933,0.261,0.895,-1.14,0.261,-0.133,0.895,"glycine"
"CHEBI:18050",FALSE,-0.0655,0.945,0.965,0.204,0.972,1.3,0.204,0.0354,0.972,"glutamine"
"ATP5B",FALSE,-0.0658,0.956,0.97,0.978,0.00203,2.09,0.0445,-3.37,0.00203,NA
"CHEBI:18095",FALSE,-0.0691,0.797,0.933,0.32,0.893,-1.01,0.32,-0.136,0.893,"trans-4-hydroxyproline"
"CHEBI:16015",FALSE,-0.0753,0.865,0.935,0.669,0.93,0.432,0.669,0.0882,0.93,"glutamate"
"CHEBI:17750",FALSE,-0.0861,0.78,0.933,0.883,0.603,-0.148,0.883,-0.525,0.603,"betaine"
"MDH1",FALSE,-0.0904,0.832,0.935,0.912,0.13,1.38,0.176,-1.55,0.13,NA
"CHEBI:30887",TRUE,-0.328,0.542,0.933,0.736,0.465,0.639,0.527,-0.741,0.465,"isocitrate"
"CHEBI:30769",TRUE,-1.02,0.726,0.933,0.112,0.852,-1.63,0.112,-0.188,0.852,"citrate"
