"","in_pwy","impact","EMY.p","EMY.FDR","EM_dir.p","MY_dir.p","EM.t","EM.p","MY.t","MY.p","CHEBI"
"CHEBI:32816",TRUE,1.57,0.0737,0.933,0.271,0.241,1.12,0.271,1.2,0.241,"pyruvate"
"CHEBI:30915",TRUE,0.849,0.21,0.933,0.459,0.233,0.75,0.459,1.22,0.233,"alpha-ketoglutarate"
"CHEBI:17115",TRUE,0.691,0.264,0.933,0.208,0.514,-1.28,0.208,0.0352,0.972,"serine"
"CHEBI:17196",TRUE,0.633,0.287,0.933,0.00221,0.535,3.33,0.00221,-0.0896,0.929,"asparagine"
"CHEBI:18367",TRUE,0.616,0.275,0.933,0.512,0.525,0.664,0.512,-0.0624,0.951,"phosphate"
"CHEBI:15971",TRUE,0.578,0.305,0.933,9.81e-05,0.552,4.45,9.81e-05,0.601,0.552,"histidine"
"CHEBI:16414",FALSE,0.468,1.89e-05,0.013,0.000936,0.00434,3.65,0.000936,3.08,0.00434,"valine"
"CHEBI:17295",FALSE,0.365,3.45e-05,0.0158,0.0022,0.00587,3.33,0.0022,2.96,0.00587,"phenylalanine"
"CHEBI:15603",FALSE,0.346,1.42e-05,0.013,0.000395,0.00376,3.96,0.000395,3.13,0.00376,"leucine"
"CHEBI:17895",FALSE,0.319,0.000434,0.116,0.0208,0.000464,2.43,0.0208,3.92,0.000464,"tyrosine"
"CHEBI:16977",FALSE,0.288,0.00245,0.225,0.0495,0.0236,2.04,0.0495,2.38,0.0236,"alanine"
"CHEBI:16828",FALSE,0.21,0.0123,0.588,0.0583,0.111,1.96,0.0583,1.64,0.111,"tryptophan"
"CHEBI:30817",TRUE,0.18,0.435,0.933,0.0571,0.659,1.97,0.0571,-0.414,0.682,"trans-urocanate"
"CHEBI:16643",FALSE,0.157,0.067,0.933,0.259,0.00961,1.15,0.259,2.76,0.00961,"methionine"
"CHEBI:30851",FALSE,0.144,0.0177,0.677,0.0495,0.133,2.04,0.0495,1.54,0.133,"phenylpyruvate"
"CHEBI:17884",FALSE,0.138,0.00128,0.22,0.022,0.0358,-2.41,0.022,-2.2,0.0358,"phenylacetylglutamine"
"CHEBI:16530",FALSE,0.138,0.0183,0.679,7.74e-05,0.135,4.53,7.74e-05,1.53,0.135,"3-methyl-2-oxobutyrate"
"CHEBI:17865",FALSE,0.137,6.52e-05,0.0224,1.54e-05,0.00808,5.09,1.54e-05,2.83,0.00808,"4-methyl-2-oxopentanoate"
"CHEBI:17533",FALSE,0.118,0.00263,0.226,0.0513,0.00822,2.02,0.0513,2.82,0.00822,"N-acetylglutamate"
"CHEBI:18019",FALSE,0.0817,0.0668,0.933,0.259,0.223,1.15,0.259,1.24,0.223,"lysine"
"CHEBI:37024",FALSE,0.0809,0.0209,0.739,0.0169,0.145,2.52,0.0169,1.5,0.145,"2-aminoadipate"
"CHEBI:17191",FALSE,0.0787,0.208,0.933,0.456,0.108,0.754,0.456,1.66,0.108,"isoleucine"
"CNDP1",FALSE,0.0667,0.00549,0.36,8.55e-06,0.0741,5.29,8.55e-06,1.85,0.0741,NA
"CHEBI:30797",FALSE,0.0641,0.151,0.933,0.0613,0.389,1.94,0.0613,0.873,0.389,"malate"
"CHEBI:17712",FALSE,0.0609,0.0237,0.796,0.106,0.154,1.67,0.106,1.46,0.154,"xanthine"
"CHEBI:35932",FALSE,0.0536,0.0146,0.65,0.0142,0.121,2.59,0.0142,1.59,0.121,"3-methyl-2-oxovalerate"
"CHEBI:422",FALSE,0.0508,0.031,0.872,0.0244,0.176,2.36,0.0244,1.38,0.176,"lactate"
"CHEBI:15741",FALSE,0.0445,0.0709,0.933,0.0638,0.266,1.92,0.0638,1.13,0.266,"succinate"
"CHEBI:15611",FALSE,0.0398,0.23,0.933,0.48,0.179,0.715,0.48,1.38,0.179,"sarcosine"
"CHEBI:1372",FALSE,0.0338,0.33,0.933,0.0405,0.575,2.14,0.0405,0.567,0.575,"S-1-pyrroline-5-carboxylate"
"CXCL11",FALSE,0.0279,0.0484,0.933,0.122,0.22,1.59,0.122,1.25,0.22,NA
"CHEBI:17203",FALSE,0.0247,0.344,0.933,0.587,0.0268,0.549,0.587,2.33,0.0268,"proline"
